,train_ACC,train_F1,train_Recall,train_Pre,train_MCC,val_ACC,val_F1,val_Recall,val_Pre,val_MCC,test_ACC,test_F1,test_Recall,test_Pre,test_MCC
penaltyl1 C0.001 solverliblinear,0.8653 (0.00247),0.8642 (0.00279),0.8574 (0.00470),0.8712 (0.00099),0.7307 (0.00490),0.8700 (0.00181),0.8682 (0.00286),0.8562 (0.00969),0.8806 (0.00443),0.7404 (0.00334),0.8685 (0.00020),0.8675 (0.00030),0.8612 (0.00246),0.8740 (0.00203),0.7371 (0.00042)
penaltyl1 C0.001 solversaga,0.8648 (0.00280),0.8639 (0.00305),0.8582 (0.00456),0.8697 (0.00159),0.7297 (0.00557),0.8694 (0.00118),0.8676 (0.00233),0.8562 (0.00969),0.8795 (0.00539),0.7391 (0.00208),0.8683 (0.00058),0.8675 (0.00044),0.8620 (0.00211),0.8731 (0.00228),0.7367 (0.00118)
penaltyl1 C0.01 solverliblinear,0.9276 (0.00101),0.9257 (0.00104),0.9023 (0.00125),0.9503 (0.00115),0.8562 (0.00202),0.9296 (0.00054),0.9281 (0.00015),0.9091 (0.00567),0.9480 (0.00627),0.8599 (0.00146),0.9278 (0.00143),0.9261 (0.00163),0.9045 (0.00372),0.9487 (0.00079),0.8565 (0.00268)
penaltyl1 C0.01 solversaga,0.9315 (0.00349),0.9305 (0.00354),0.9169 (0.00349),0.9445 (0.00362),0.8634 (0.00699),0.9332 (0.00116),0.9325 (0.00138),0.9230 (0.00705),0.9422 (0.00573),0.8666 (0.00225),0.9321 (0.00233),0.9312 (0.00255),0.9196 (0.00504),0.9432 (0.00023),0.8645 (0.00454)
penaltyl1 C0.1 solverliblinear,0.9421 (0.00169),0.9416 (0.00166),0.9333 (0.00111),0.9501 (0.00253),0.8844 (0.00341),0.9432 (0.00269),0.9429 (0.00251),0.9383 (0.00202),0.9477 (0.00592),0.8865 (0.00542),0.9394 (0.00016),0.9388 (0.00017),0.9302 (0.00099),0.9476 (0.00087),0.8789 (0.00031)
penaltyl1 C0.1 solversaga,0.9407 (0.00399),0.9402 (0.00408),0.9311 (0.00482),0.9494 (0.00333),0.8816 (0.00796),0.9414 (0.00348),0.9411 (0.00357),0.9353 (0.00743),0.9469 (0.00623),0.8830 (0.00689),0.9382 (0.00222),0.9377 (0.00239),0.9297 (0.00464),0.9458 (0.00106),0.8766 (0.00438)
penaltyl1 C100 solverliblinear,0.9447 (0.00182),0.9443 (0.00185),0.9366 (0.00223),0.9521 (0.00152),0.8896 (0.00363),0.9461 (0.00269),0.9460 (0.00252),0.9425 (0.00135),0.9494 (0.00573),0.8923 (0.00541),0.9430 (0.00072),0.9426 (0.00074),0.9366 (0.00175),0.9487 (0.00154),0.8860 (0.00144)
penaltyl1 C100 solversaga,0.9414 (0.00452),0.9409 (0.00465),0.9330 (0.00601),0.9490 (0.00325),0.8829 (0.00899),0.9418 (0.00294),0.9415 (0.00309),0.9370 (0.00791),0.9462 (0.00592),0.8837 (0.00580),0.9382 (0.00286),0.9377 (0.00306),0.9299 (0.00560),0.9457 (0.00046),0.8766 (0.00563)
penaltyl1 C10 solverliblinear,0.9442 (0.00144),0.9437 (0.00147),0.9363 (0.00189),0.9513 (0.00106),0.8885 (0.00286),0.9460 (0.00242),0.9458 (0.00225),0.9428 (0.00164),0.9489 (0.00536),0.8920 (0.00485),0.9424 (0.00071),0.9420 (0.00075),0.9359 (0.00185),0.9482 (0.00125),0.8849 (0.00142)
penaltyl1 C10 solversaga,0.9414 (0.00452),0.9409 (0.00465),0.9330 (0.00600),0.9490 (0.00326),0.8829 (0.00899),0.9418 (0.00298),0.9415 (0.00313),0.9370 (0.00791),0.9462 (0.00594),0.8837 (0.00589),0.9382 (0.00285),0.9377 (0.00305),0.9299 (0.00562),0.9456 (0.00046),0.8766 (0.00562)
